date,consumption,tavg,tmin,tmax
2000-01-15,4.968630531030216,-2.3569999999999998,-4.041,0.998
2000-01-16,4.968630531030216,-0.621,-3.021,1.375
2000-01-17,4.968630531030216,2.8882083333333335,1.244,3.784
2000-01-18,4.968630531030216,2.7631666666666668,-1.014,4.667
2000-01-19,4.968630531030216,-0.7396250000000001,-2.135,2.481
2000-01-20,4.968630531030216,0.627625,-1.739,2.401
2000-01-21,4.968630531030216,0.5699583333333333,-1.75,2.398
2000-01-22,4.968630531030216,-0.32345833333333335,-1.38,1.447
2000-01-23,4.968630531030216,-3.9555416666666665,-8.503,-1.24
2000-01-24,4.968630531030216,-7.046541666666666,-9.269,-3.383
2000-01-25,4.968630531030216,-6.914583333333333,-9.673,-2.438
2000-01-26,4.968630531030216,-4.419333333333333,-8.103,-0.585
2000-01-27,4.968630531030216,-2.9941666666666666,-5.208,0.848
2000-01-28,4.968630531030216,-1.5348333333333333,-4.906,1.53
2000-01-29,4.968630531030216,3.4691666666666667,0.931,5.229
2000-01-30,4.968630531030216,5.1762500000000005,3.99,6.421
2000-01-31,4.968630531030216,6.572791666666666,5.101,8.126
2000-02-01,4.968630531030216,5.508958333333333,4.243,8.284
2000-02-02,4.968630531030216,4.305833333333333,2.513,6.383
2000-02-03,4.968630531030216,2.5563333333333333,0.449,5.511
2000-02-04,4.968630531030216,3.2879166666666664,0.462,6.067
2000-02-05,4.968630531030216,5.134416666666667,3.005,9.211
2000-02-06,4.968630531030216,5.054208333333333,2.531,9.076
2000-02-07,4.968630531030216,5.8289583333333335,4.776,8.246
2000-02-08,4.968630531030216,6.923041666666666,4.608,8.868
2000-02-09,4.968630531030216,3.2933749999999997,1.861,4.854
2000-02-10,4.968630531030216,3.545541666666667,1.31,7.136
2000-02-11,4.968630531030216,1.9548333333333334,-1.209,5.792
2000-02-12,4.968630531030216,1.0955,-2.158,5.148
2000-02-13,4.968630531030216,2.453875,0.115,5.046
2000-02-14,4.968630531030216,1.6661666666666666,-0.379,5.23
2000-02-15,4.968630531030216,4.434458333333333,2.277,7.83
2000-02-16,4.968630531030216,1.7618749999999999,-1.082,3.481
2000-02-17,4.968630531030216,0.13741666666666666,-1.296,2.745
2000-02-18,4.968630531030216,0.7888333333333333,-1.455,2.475
2000-02-19,4.968630531030216,2.251625,0.316,4.672
2000-02-20,4.968630531030216,0.022499999999999947,-2.89,3.134
2000-02-21,4.968630531030216,-0.9445416666666667,-3.469,2.51
2000-02-22,4.968630531030216,0.34970833333333334,-1.917,3.917
2000-02-23,4.968630531030216,1.3246666666666667,-1.473,5.5
2000-02-24,4.968630531030216,2.9804999999999997,0.257,5.576
2000-02-25,4.968630531030216,3.2379583333333333,0.079,6.237
2000-02-26,4.968630531030216,1.9201666666666668,-1.161,6.936
2000-02-27,4.968630531030216,3.3524166666666666,-2.168,9.638
2000-02-28,4.968630531030216,6.933375000000001,3.273,12.387
2000-02-29,4.968630531030216,5.335625,2.959,8.103
2000-03-01,4.968630531030216,4.202041666666667,1.181,6.371
2000-03-02,4.968630531030216,1.94275,0.086,4.344
2000-03-03,4.968630531030216,4.090041666666667,1.637,6.618
2000-03-04,4.968630531030216,0.6828333333333333,-1.94,2.533
2000-03-05,4.968630531030216,-0.010958333333333329,-2.32,2.973
2000-03-06,4.968630531030216,2.6028333333333333,-1.4,7.136
2000-03-07,4.968630531030216,5.809291666666667,1.929,9.855
2000-03-08,4.968630531030216,8.234250000000001,6.05,9.854
2000-03-09,4.968630531030216,8.78575,4.972,10.991
2000-03-10,4.968630531030216,4.720291666666667,2.021,7.332
2000-03-11,4.968630531030216,6.3045,2.869,8.944
2000-03-12,4.968630531030216,4.322208333333333,1.363,8.406
2000-03-13,4.968630531030216,5.573625,1.031,10.34
2000-03-14,4.968630531030216,6.5326249999999995,2.665,9.727
2000-03-15,4.968630531030216,2.4804166666666667,0.268,4.954
2000-03-16,4.968630531030216,4.187,2.578,6.373
2000-03-17,4.968630531030216,4.99575,3.405,6.997
2000-03-18,4.968630531030216,3.950333333333333,1.613,6.564
2000-03-19,4.968630531030216,3.3539999999999996,0.62,7.6
2000-03-20,4.968630531030216,3.7511666666666668,-0.244,8.34
2000-03-21,4.968630531030216,5.899708333333333,1.665,11.424
2000-03-22,4.968630531030216,6.995291666666667,0.545,13.955
2000-03-23,4.968630531030216,7.812583333333333,2.522,13.872
2000-03-24,4.968630531030216,7.7505,3.967,12.229
2000-03-25,4.968630531030216,7.9744166666666665,4.514,12.4
2000-03-26,4.968630531030216,5.749291666666667,2.603,9.277
2000-03-27,4.968630531030216,4.347875,1.648,7.645
2000-03-28,4.968630531030216,3.394375,1.262,6.111
2000-03-29,4.968630531030216,5.148833333333333,2.137,8.697
2000-03-30,4.968630531030216,4.5529166666666665,2.952,6.958
2000-03-31,4.968630531030216,4.746833333333333,1.909,8.363
2000-04-01,4.968630531030216,4.378708333333333,1.032,8.571
2000-04-02,4.968630531030216,6.491791666666667,1.37,12.182
2000-04-03,4.968630531030216,8.861416666666667,1.919,15.864
2000-04-04,4.968630531030216,9.336916666666667,5.766,13.968
2000-04-05,4.968630531030216,4.8961250000000005,-0.369,8.391
2000-04-06,4.968630531030216,2.6775416666666665,-2.885,8.407
2000-04-07,4.968630531030216,4.331916666666667,-0.883,10.049
2000-04-08,4.968630531030216,5.5023333333333335,0.675,10.678
2000-04-09,4.968630531030216,5.810208333333333,1.21,11.258
2000-04-10,4.968630531030216,5.056,-0.637,11.156
2000-04-11,4.968630531030216,6.457416666666667,0.457,11.727
2000-04-12,4.968630531030216,5.266916666666667,2.435,7.954
2000-04-13,4.968630531030216,5.969291666666667,2.08,10.01
2000-04-14,4.968630531030216,6.934833333333334,3.849,11.14
2000-04-15,4.968630531030216,7.848583333333333,3.679,12.371
2000-04-16,4.968630531030216,8.296666666666667,3.129,13.471
2000-04-17,4.968630531030216,9.513291666666666,5.436,14.321
2000-04-18,4.968630531030216,9.584333333333333,5.174,14.112
2000-04-19,4.968630531030216,10.261791666666666,6.171,15.043
2000-04-20,4.968630531030216,11.858291666666666,5.091,18.292
2000-04-21,4.968630531030216,13.968291666666666,7.692,20.041
2000-04-22,4.968630531030216,15.902583333333332,8.913,22.546
2000-04-23,4.968630531030216,15.638333333333334,11.028,21.38
2000-04-24,4.968630531030216,10.814041666666666,6.938,13.428
2000-04-25,4.968630531030216,11.119583333333333,5.377,17.276
2000-04-26,4.968630531030216,14.405500000000002,7.106,21.331
2000-04-27,4.968630531030216,16.174083333333332,9.726,22.33
2000-04-28,4.968630531030216,16.998749999999998,10.804,22.99
2000-04-29,4.968630531030216,15.186083333333334,11.599,19.316
2000-04-30,4.968630531030216,15.144458333333333,10.479,19.956
2000-05-01,4.968630531030216,14.911416666666668,10.25,19.469
2000-05-02,4.968630531030216,14.989708333333333,10.174,20.001
2000-05-03,4.968630531030216,14.5535,9.416,19.871
2000-05-04,4.968630531030216,14.870416666666666,9.636,20.436
2000-05-05,4.968630531030216,15.390625,8.443,21.737
2000-05-06,4.968630531030216,16.095333333333333,9.271,22.29
2000-05-07,4.968630531030216,16.9505,10.088,22.714
2000-05-08,4.968630531030216,17.548416666666665,11.933,22.736
2000-05-09,4.968630531030216,17.758958333333332,11.784,23.275
2000-05-10,4.968630531030216,18.42504166666667,12.215,24.243
2000-05-11,4.968630531030216,18.15225,11.877,24.352
2000-05-12,4.968630531030216,15.470208333333334,10.491,20.27
2000-05-13,4.968630531030216,14.572291666666667,7.897,20.636
2000-05-14,4.968630531030216,16.5615,8.394,23.22
2000-05-15,4.968630531030216,18.679083333333335,10.074,25.073
2000-05-16,4.968630531030216,20.121916666666667,13.017,26.165
2000-05-17,4.968630531030216,16.62875,11.265,20.88
2000-05-18,4.968630531030216,12.132125,7.996,15.207
2000-05-19,4.968630531030216,10.271333333333333,6.754,13.669
2000-05-20,4.968630531030216,9.733791666666667,6.694,13.229
2000-05-21,4.968630531030216,11.003958333333335,5.254,15.294
2000-05-22,4.968630531030216,10.853708333333332,7.605,14.552
2000-05-23,4.968630531030216,12.808750000000002,6.378,17.698
2000-05-24,4.968630531030216,14.685249999999998,9.346,19.299
2000-05-25,4.968630531030216,14.64575,9.143,19.321
2000-05-26,4.968630531030216,14.326333333333332,7.542,19.56
2000-05-27,4.968630531030216,12.956000000000001,7.972,14.95
2000-05-28,4.968630531030216,11.749583333333334,7.567,16.28
2000-05-29,4.968630531030216,9.746,6.174,12.946
2000-05-30,4.968630531030216,10.201833333333333,5.083,14.004
2000-05-31,4.968630531030216,12.142291666666667,7.03,16.312
2000-06-01,4.968630531030216,15.04325,8.015,20.402
2000-06-02,4.968630531030216,18.783416666666668,11.328,24.74
2000-06-03,4.968630531030216,19.809708333333333,12.989,25.338
2000-06-04,4.968630531030216,19.492541666666664,15.054,24.002
2000-06-05,4.968630531030216,18.413666666666668,13.881,23.18
2000-06-06,4.968630531030216,13.904041666666666,9.906,16.591
2000-06-07,4.968630531030216,12.7565,8.479,16.819
2000-06-08,4.968630531030216,14.794666666666666,7.176,20.827
2000-06-09,4.968630531030216,19.625,10.421,26.64
2000-06-10,4.968630531030216,20.921875,14.752,26.425
2000-06-11,4.968630531030216,18.576958333333334,13.728,23.318
2000-06-12,4.968630531030216,17.28725,11.631,22.264
2000-06-13,4.968630531030216,20.117208333333334,13.149,26.113
2000-06-14,4.968630531030216,18.886916666666668,14.042,23.358
2000-06-15,4.968630531030216,15.842916666666667,10.19,19.302
2000-06-16,4.968630531030216,12.654375,7.846,17.341
2000-06-17,4.968630531030216,13.526291666666665,5.981,19.502
2000-06-18,4.968630531030216,18.31383333333333,8.873,25.191
2000-06-19,4.968630531030216,22.634416666666667,13.649,29.693
2000-06-20,4.968630531030216,24.80575,17.013,31.175
2000-06-21,4.968630531030216,23.8145,17.426,29.739
2000-06-22,4.968630531030216,19.704041666666665,14.678,23.441
2000-06-23,4.968630531030216,16.620083333333334,12.856,20.213
2000-06-24,4.968630531030216,13.818083333333334,10.191,16.864
2000-06-25,4.968630531030216,12.783583333333333,9.329,16.439
2000-06-26,4.968630531030216,12.1545,8.167,16.348
2000-06-27,4.968630531030216,12.322291666666667,6.689,17.367
2000-06-28,4.968630531030216,12.593125,6.831,17.541
2000-06-29,4.968630531030216,12.830625,7.725,17.649
2000-06-30,4.968630531030216,14.562624999999999,8.67,19.53
2000-07-01,4.968630531030216,17.610833333333336,10.503,23.373
2000-07-02,4.968630531030216,19.33791666666667,13.234,24.249
2000-07-03,4.968630531030216,19.029166666666665,14.859,23.281
2000-07-04,4.968630531030216,18.334,13.788,22.888
2000-07-05,4.968630531030216,16.946916666666667,13.313,20.972
2000-07-06,4.968630531030216,17.058208333333333,12.161,21.741
2000-07-07,4.968630531030216,16.107458333333334,12.061,20.849
